06 09 2017,2809.00,2781.50,2849.80,2769.60,9.52,0.97
06 08 2017,2782.10,2642.00,2789.30,2570.10,16.98,5.28
06 07 2017,2642.63,2844.60,2850.00,2600.20,22.10,-7.07
06 06 2017,2843.60,2636.90,2896.50,2620.00,42.68,7.87
06 05 2017,2636.20,2488.20,2637.50,2480.00,15.39,5.95
06 04 2017,2488.20,2461.60,2498.00,2376.40,11.88,1.11
06 03 2017,2461.00,2405.90,2481.00,2348.00,10.77,2.29
06 02 2017,2405.88,2312.00,2407.80,2271.90,12.55,4.08
06 01 2017,2311.60,2191.83,2366.70,2187.40,18.96,5.46
05 31 2017,2191.83,2147.29,2240.10,2002.10,21.24,2.10
05 30 2017,2146.70,2207.40,2263.10,2080.40,21.45,-2.75
05 29 2017,2207.40,2056.90,2249.80,1990.10,16.46,7.33
05 28 2017,2056.60,1980.00,2193.00,1955.50,25.78,4.27
05 27 2017,1972.30,2125.90,2207.90,1810.00,47.12,-7.29
05 26 2017,2127.30,2268.10,2477.00,2008.70,39.76,-5.54
05 25 2017,2252.00,2392.60,2689.00,2142.10,55.10,-5.96
05 24 2017,2394.80,2250.00,2443.80,2247.70,29.63,6.47
05 23 2017,2249.30,2087.50,2262.90,2060.00,22.49,7.85
05 22 2017,2085.50,2026.50,2219.90,1979.20,57.24,2.77
05 21 2017,2029.20,2059.30,2099.10,2001.00,17.22,-1.48
05 20 2017,2059.70,1966.50,2072.20,1963.60,21.69,4.74
05 19 2017,1966.50,1941.50,2000.00,1925.00,23.00,1.29
05 18 2017,1941.50,1870.00,1949.90,1861.00,12.91,3.82
05 17 2017,1870.00,1786.20,1892.90,1766.40,15.91,4.72
05 16 2017,1785.70,1772.00,1795.10,1728.00,9.86,0.74
05 15 2017,1772.50,1826.80,1828.50,1720.00,15.76,-3.04
05 14 2017,1828.10,1820.60,1852.40,1780.00,11.31,0.42
05 13 2017,1820.40,1735.00,1824.00,1666.00,16.60,4.92
05 12 2017,1735.00,1853.90,1864.80,1700.80,21.40,-6.41
05 11 2017,1853.90,1796.90,1908.00,1766.60,24.39,3.18
05 10 2017,1796.80,1759.80,1817.40,1722.30,18.62,2.09
05 09 2017,1760.00,1703.50,1813.90,1695.10,31.21,3.33
05 08 2017,1703.20,1619.80,1715.00,1618.90,19.91,5.14
05 07 2017,1619.90,1597.00,1631.30,1575.10,13.91,1.43
05 06 2017,1597.10,1545.10,1605.00,1545.00,14.02,3.37
05 05 2017,1545.10,1607.20,1665.50,1511.70,32.64,-3.86
05 04 2017,1607.10,1619.40,1701.90,1521.10,31.49,-0.66
05 03 2017,1617.80,1558.50,1626.90,1542.00,17.07,3.71
05 02 2017,1560.00,1533.00,1604.60,1479.20,16.73,1.75
05 01 2017,1533.10,1435.00,1560.00,1432.00,22.30,6.82
04 30 2017,1435.20,1425.40,1443.50,1403.30,8.52,0.81
04 29 2017,1423.60,1415.60,1436.60,1401.50,8.77,0.57
04 28 2017,1415.60,1440.30,1447.00,1368.30,14.02,-1.71
04 27 2017,1440.30,1399.30,1449.70,1392.50,10.40,2.93
04 26 2017,1399.30,1371.00,1411.70,1365.10,11.81,2.12
04 25 2017,1370.30,1345.00,1378.50,1342.10,8.27,1.88
04 24 2017,1345.00,1355.30,1359.60,1326.90,7.91,-0.75
04 23 2017,1355.20,1346.40,1359.00,1336.00,7.75,0.57
04 22 2017,1347.50,1327.10,1353.10,1290.10,12.37,1.65
04 21 2017,1325.60,1308.70,1333.10,1307.50,8.00,1.31
04 20 2017,1308.40,1260.50,1325.70,1260.10,15.62,3.80
04 19 2017,1260.50,1265.40,1272.00,1255.00,7.58,-0.39
04 18 2017,1265.40,1240.00,1274.80,1237.00,16.14,2.05
04 17 2017,1240.00,1212.50,1247.00,1202.20,15.15,2.31
04 16 2017,1212.00,1193.30,1217.60,1190.40,4.50,1.57
04 15 2017,1193.30,1206.80,1215.00,1190.00,9.15,-1.12
04 14 2017,1206.80,1187.00,1219.10,1184.00,12.32,1.67
04 13 2017,1187.00,1227.40,1235.10,1163.50,19.14,-3.29
04 12 2017,1227.40,1236.90,1239.00,1221.00,12.01,-0.66
04 11 2017,1235.60,1220.30,1243.40,1209.10,9.56,1.25
04 10 2017,1220.30,1215.90,1229.90,1208.10,11.55,0.36
04 09 2017,1215.90,1188.10,1226.90,1180.20,16.31,2.34
04 08 2017,1188.10,1196.60,1202.60,1171.30,11.02,-0.71
04 07 2017,1196.60,1191.50,1208.90,1176.70,20.44,0.43
04 06 2017,1191.50,1140.30,1206.40,1140.30,32.17,4.46
04 05 2017,1140.60,1145.80,1146.70,1112.30,22.55,-0.38
04 04 2017,1145.00,1150.10,1161.90,1124.10,21.16,-0.45
04 03 2017,1150.20,1107.80,1159.90,1107.80,30.42,3.85
04 02 2017,1107.60,1093.50,1118.20,1081.00,20.42,1.32
04 01 2017,1093.20,1081.30,1106.90,1070.20,17.00,1.06
03 31 2017,1081.70,1042.10,1089.40,1041.00,27.50,3.91
03 30 2017,1041.00,1041.70,1053.50,1022.20,24.81,-0.08
03 29 2017,1041.80,1044.70,1058.90,1009.30,22.32,-0.28
03 28 2017,1044.70,1042.80,1066.50,1016.80,25.25,0.19
03 27 2017,1042.70,968.90,1046.90,960.10,31.91,7.61
03 26 2017,969.00,971.31,1005.50,950.10,33.26,-0.33
03 25 2017,972.17,942.13,980.00,891.00,46.01,3.08
03 24 2017,943.10,1032.70,1034.20,928.30,43.52,-8.70
03 23 2017,1033.00,1039.40,1055.00,1018.00,19.33,-0.59
03 22 2017,1039.10,1115.90,1116.00,986.30,41.33,-6.81
03 21 2017,1115.00,1040.40,1120.90,1040.10,33.42,7.31
03 20 2017,1039.00,1016.50,1052.10,1011.20,20.53,2.25
03 19 2017,1016.10,971.90,1058.90,971.00,40.55,4.64
03 18 2017,971.00,1067.80,1097.10,935.11,87.88,-9.12
03 17 2017,1068.40,1169.10,1169.60,1066.00,59.21,-8.61
03 16 2017,1169.00,1256.10,1259.70,1132.50,51.49,-6.93
03 15 2017,1256.10,1245.00,1262.00,1241.30,15.84,0.89
03 14 2017,1245.00,1238.50,1257.90,1218.90,17.97,0.52
03 13 2017,1238.50,1224.40,1246.90,1207.50,23.07,1.09
03 12 2017,1225.20,1172.40,1232.60,1167.50,18.97,4.47
03 11 2017,1172.80,1113.50,1196.10,1107.00,31.26,5.32
03 10 2017,1113.60,1190.40,1328.80,971.00,104.89,-6.45
03 09 2017,1190.40,1150.00,1207.50,1136.00,24.15,3.58
03 08 2017,1149.30,1232.40,1243.60,1142.20,46.82,-6.74
03 07 2017,1232.40,1279.20,1281.80,1185.90,42.01,-3.67
03 06 2017,1279.30,1278.40,1287.80,1268.60,9.60,0.07
03 05 2017,1278.40,1267.80,1279.80,1245.30,9.32,0.84
03 04 2017,1267.80,1289.10,1291.80,1240.10,15.55,-1.58
03 03 2017,1288.20,1257.60,1294.70,1256.60,22.29,2.05
03 02 2017,1262.30,1232.90,1283.10,1213.00,30.55,2.39
03 01 2017,1232.80,1189.10,1233.50,1186.00,22.49,3.68
02 28 2017,1189.10,1196.00,1216.00,1177.80,17.47,-0.54
02 27 2017,1195.50,1178.30,1202.60,1171.00,11.76,1.46
02 26 2017,1178.30,1153.00,1185.90,1130.90,11.08,2.19
02 25 2017,1153.00,1185.40,1189.90,1131.50,16.29,-2.71
02 24 2017,1185.10,1189.90,1222.20,1111.10,48.21,-0.49
02 23 2017,1190.90,1125.50,1196.90,1120.40,26.12,5.83
02 22 2017,1125.30,1129.60,1140.00,1106.40,14.33,-0.38
02 21 2017,1129.60,1091.30,1134.00,1085.00,24.50,3.52
02 20 2017,1091.20,1056.20,1100.30,1044.10,13.29,3.31
02 19 2017,1056.20,1059.80,1066.00,1045.00,6.44,-0.34
02 18 2017,1059.80,1056.20,1071.10,1053.10,7.15,0.34
02 17 2017,1056.20,1038.50,1065.80,1034.10,16.17,1.71
02 16 2017,1038.40,1013.90,1045.70,1013.90,11.26,2.43
02 15 2017,1013.80,1013.30,1017.30,1002.40,5.61,0.01
02 14 2017,1013.70,996.52,1019.00,988.88,12.20,1.73
02 13 2017,996.50,996.00,1004.50,975.90,9.05,0.05
02 12 2017,996.01,1000.10,1005.40,992.33,4.33,-0.43
02 11 2017,1000.30,992.10,1009.00,984.19,9.32,0.84
02 10 2017,992.00,984.97,1002.00,949.39,24.48,0.71
02 09 2017,984.97,1049.00,1078.00,936.41,59.96,-6.09
02 08 2017,1048.80,1052.50,1068.00,1013.20,23.09,-0.31
02 07 2017,1052.10,1022.60,1056.30,1021.70,15.19,2.88
02 06 2017,1022.60,1006.60,1026.20,1006.00,8.90,1.59
02 05 2017,1006.60,1031.10,1033.00,996.35,16.19,-2.38
02 04 2017,1031.10,1016.80,1040.00,1001.60,17.19,1.52
02 03 2017,1015.70,1007.00,1020.50,988.34,18.97,0.99
02 02 2017,1005.70,983.73,1010.50,970.11,17.79,2.23
02 01 2017,983.73,966.19,984.99,960.10,11.35,1.82
01 31 2017,966.19,917.36,969.38,916.75,19.65,5.32
01 30 2017,917.36,912.55,920.79,910.01,3.45,0.53
01 29 2017,912.56,919.43,922.99,910.72,2.70,-0.75
01 28 2017,919.43,916.70,923.98,915.01,3.61,0.30
01 27 2017,916.70,915.12,922.16,905.05,10.14,0.17
01 26 2017,915.12,893.35,917.64,893.35,9.82,2.44
01 25 2017,893.35,886.10,899.61,884.20,10.48,0.82
01 24 2017,886.10,908.41,927.00,884.20,20.73,-2.63
01 23 2017,910.03,923.72,928.82,910.03,9.63,-1.48
01 22 2017,923.72,924.02,939.73,892.00,21.84,-0.03
01 21 2017,924.02,895.74,931.01,893.89,12.17,3.13
01 20 2017,895.96,900.29,904.50,883.34,9.49,-0.48
01 19 2017,900.29,887.60,908.20,884.57,15.08,1.41
01 18 2017,887.76,903.99,913.85,847.30,21.30,-1.80
01 17 2017,903.99,830.10,910.77,828.00,27.34,8.90
01 16 2017,830.10,820.74,837.89,814.79,7.65,1.14
01 15 2017,820.74,815.30,822.98,805.13,5.39,0.67
01 14 2017,815.30,828.12,838.54,800.71,12.53,-1.55
01 13 2017,828.12,804.58,832.29,776.00,25.88,2.93
01 12 2017,804.58,779.54,831.16,738.66,35.91,3.34
01 11 2017,778.58,905.76,922.63,760.00,62.87,-14.04
01 10 2017,905.76,903.00,917.88,895.50,12.14,0.31
01 09 2017,903.00,915.90,916.10,876.30,16.59,-1.41
01 08 2017,915.90,908.84,942.50,890.00,30.75,0.78
01 07 2017,908.84,898.50,911.00,816.10,40.60,1.21
01 06 2017,898.00,1003.80,1025.00,871.00,57.40,-10.49
01 05 2017,1003.20,1139.80,1166.00,865.38,91.20,-11.97
01 04 2017,1139.60,1037.50,1150.00,1036.40,53.73,9.84
01 03 2017,1037.50,1019.30,1038.70,1013.50,14.11,1.79
01 02 2017,1019.30,999.24,1034.80,997.30,21.82,2.03
01 01 2017,998.99,966.58,1006.50,961.26,13.44,3.35
12 31 2016,966.58,959.16,968.00,945.01,7.16,0.76
12 30 2016,959.26,974.74,974.74,929.75,19.36,-1.37
12 29 2016,972.63,981.70,983.00,948.99,22.56,-0.92
12 28 2016,981.70,936.43,983.00,936.38,20.82,4.85
12 27 2016,936.32,906.40,940.00,903.51,9.19,3.30
12 26 2016,906.40,898.00,919.99,894.21,11.83,0.94
12 25 2016,897.99,895.24,901.48,858.63,12.04,0.31
12 24 2016,895.24,918.99,919.85,882.79,7.39,-2.58
12 23 2016,918.99,859.20,920.00,859.00,26.03,6.96
12 22 2016,859.20,829.34,873.86,825.00,15.25,3.52
12 21 2016,829.99,798.77,830.50,794.99,16.22,4.01
12 20 2016,797.99,790.59,802.33,788.01,6.99,0.94
12 19 2016,790.59,790.21,792.21,787.96,2.15,0.05
12 18 2016,790.21,790.99,792.80,784.39,2.43,-0.10
12 17 2016,790.99,784.17,793.00,784.17,6.20,0.87
12 16 2016,784.17,777.43,785.03,775.86,4.77,0.87
12 15 2016,777.43,774.49,780.11,774.49,3.18,0.38
12 14 2016,774.49,775.00,781.16,771.17,3.68,-0.07
12 13 2016,775.00,777.99,788.86,763.70,5.58,-0.38
12 12 2016,777.99,770.21,784.10,770.21,6.76,1.01
12 11 2016,770.21,772.90,773.73,761.84,4.14,-0.35
12 10 2016,772.90,770.50,777.77,769.99,3.36,0.31
12 09 2016,770.50,765.01,772.72,765.00,3.65,0.72
12 08 2016,765.01,765.01,773.20,762.66,4.75,0.00
12 07 2016,765.01,757.18,772.15,749.11,10.69,1.01
12 06 2016,757.36,750.62,758.50,750.44,5.28,0.90
12 05 2016,750.62,768.50,768.99,744.59,10.07,-2.33
12 04 2016,768.50,765.46,769.99,760.90,4.20,0.42
12 03 2016,765.27,774.88,774.88,755.99,5.73,-1.24
12 02 2016,774.91,755.36,779.21,755.15,13.41,2.59
12 01 2016,755.36,739.00,756.00,738.80,13.40,2.21
11 30 2016,739.00,731.05,743.14,729.13,5.53,1.09
11 29 2016,731.05,731.52,733.93,728.68,5.65,-0.06
11 28 2016,731.52,724.90,734.99,724.90,4.14,0.90
11 27 2016,724.99,731.19,736.19,722.50,3.49,-0.85
11 26 2016,731.19,740.36,740.99,720.00,4.49,-1.24
11 25 2016,740.36,737.68,741.12,730.00,4.06,0.36
11 24 2016,737.68,742.00,744.32,727.61,6.07,-0.58
11 23 2016,741.99,749.85,750.91,730.79,5.58,-1.07
